Tamoxifen,4.66
Dalbavancin,4.94
Chlorpromazine,5.86
Clomipramine,7.92
Oritavancin,8.1
Toremifene,8.34
Telavancin,8.51020408163265
Teicoplanin,8.86
Amodiaquine,9.08
Chloroquine,10.52
Cyclosporine,10.56
Promethazine,12.14
Hydroxychloroquine,13.42
Niclosamide,13.6122448979592
Alisporivir,13.88
BCX4430_(Galidesivir),15.6938775510204
Imatinib,15.7291666666667
Anisomycin,15.8333333333333
Benztropine,15.96
Remdesivir,16.4468085106383
Dasatinib,16.6458333333333
Camostat,16.9583333333333
Emetine,17.74
Gemcitabine,22.25
Nafamostat,25.3125
Indomethacin,25.7692307692308
Amiodarone,26.2051282051282
Cepharanthine,26.421052631579
Nelfinavir,26.6
Emodin,27.2307692307692
Luteolin,27.6739130434783
Glycyrrhizin,27.8717948717949
Quercetin,29.1086956521739
Mefloquine,29.4888888888889
Silvestrol,29.9230769230769
Azithromycin,30
Novobiocin,30
Sunitinib,30
Camptothecin,31
Trametinib,31.3636363636364
Nitazoxanide,31.5
Rapamycin_(Sirolimus),31.65
Quinacrine,31.8461538461538
Hexachlorophene,32
Eflornithine,32.1578947368421
Homoharringtonine,32.5714285714286
Mycophenolic_acid,32.7333333333333
Lopinavir,32.8095238095238
Navitoclax,33.25
Saracatinib,33.25
Monensin,33.4090909090909
Arbidol_(Umifenovir),33.6666666666667
Favipiravir,33.8888888888889
Erlotinib,34
Gefitinib,34
Memantine,34
Topotecan,34
Tilorone_(Amixin),34.5384615384615
Sofosbuvir,34.6666666666667
Diphyllin,35
Pirlindole,35
Apilimod,35.6666666666667
Manidipine,35.6666666666667
Raloxifene,35.75
Sorafenib,36
Ritonavir,36.1363636363636
Bepridil,36.75
EIPA_(amiloride),37.6666666666667
Verapamil,38
4-HPR_(Fenretinide),39
Atovaquone,39
Brincidofovir,39
Genistin,39
Ivermectin,39
Ribavirin,39
Suramin,39
Acetylsalicylic_acid,39.5
Azacitidine,40.6666666666667
Berberine,41
Irbesartan,41
Mitoxantrone,42
Dibucaine,43
Obatoclax,45.5
Doxycycline,46
